Improvement,Constraint,CaseCount,Confidence,Principles
S1_运营效率,C1_实施复杂度,55,High,"1,9,19,21,34,30,6,20,31"
S1_运营效率,C2_可解释性,18,High,"1,8,26,14,30,25"
S1_运营效率,C3_对人的依赖度,25,High,"1,14,28,3,25,5,21"
S1_运营效率,C4_成本,28,High,"9,21,30,6,5,16,4,14,34"
S1_运营效率,C5_数据隐私风险,8,Medium,"19,3,4,10"
S1_运营效率,C6_系统安全性,18,High,"1,10,31,35,9,20,21"
S2_客户满意度,C1_实施复杂度,16,High,"4,5,11,28,3,25,14"
S2_客户满意度,C2_可解释性,7,Medium,"1,14,25,10,3"
S2_客户满意度,C3_对人的依赖度,11,Medium,"1,3,11,14,25,30,15"
S2_客户满意度,C4_成本,5,Low,"25,21,19"
S2_客户满意度,C5_数据隐私风险,5,Low,"3,25,26"
S2_客户满意度,C6_系统安全性,2,Minimal,"10,25,9"
S3_创新能力,C1_实施复杂度,24,High,"6,9,19,30,16,23,36,22,28,15,27,20,21,3"
S3_创新能力,C2_可解释性,7,Medium,"8,27,37,12,30"
S3_创新能力,C3_对人的依赖度,2,Minimal,"15,30"
S3_创新能力,C4_成本,8,Medium,"6,19,30,36,22,3"
S3_创新能力,C5_数据隐私风险,1,Minimal,"8,27,37"
S3_创新能力,C6_系统安全性,3,Low,"20,21,19"
S4_风险控制,C1_实施复杂度,14,Medium,"19,34,10,35,8"
S4_风险控制,C2_可解释性,12,Medium,"8,10,35"
S4_风险控制,C3_对人的依赖度,4,Low,"25,14,21"
S4_风险控制,C4_成本,1,Minimal,"10"
S4_风险控制,C5_数据隐私风险,2,Minimal,"8,27,37"
S4_风险控制,C6_系统安全性,12,Medium,"10,35,18,34,29,9"
S5_收入增长,C1_实施复杂度,9,Medium,"4,30,16,28,3,22"
S5_收入增长,C2_可解释性,11,Medium,"4,22,30,8"
S5_收入增长,C3_对人的依赖度,10,Medium,"1,3,11,28,30,14"
S5_收入增长,C4_成本,14,Medium,"5,14,30,16,28,3,22"
S5_收入增长,C5_数据隐私风险,4,Low,"10,3,4"
S5_收入增长,C6_系统安全性,4,Low,"21"
S6_决策速度,C1_实施复杂度,2,Minimal,"9"
S6_决策速度,C2_可解释性,12,Medium,"8,16,26,12"
S6_决策速度,C3_对人的依赖度,1,Minimal,""
S6_决策速度,C4_成本,1,Minimal,"9"
S6_决策速度,C5_数据隐私风险,1,Minimal,"8,27,37"
S6_决策速度,C6_系统安全性,5,Low,"8,10,14"
