PrincipleName,验证次数,分类,标签
原理2_认知自动化,63,第一大类_重构流程与体验,基础原理
原理7_预测与推演,60,第二大类_增强决策与洞察,基础原理
原理9_智能编排与调度,43,第二大类_增强决策与洞察,—
原理3_极致个性化,38,第一大类_重构流程与体验,—
原理10_智能风险防控,35,第二大类_增强决策与洞察,—
原理19_数字孪生,34,第四大类_颠覆产品与资产,—
原理21_服务机器人化,31,第四大类_颠覆产品与资产,—
原理30_生成式创造力,31,第五大类_范式跃迁,—
原理31_复合感知与响应,30,第五大类_范式跃迁,—
原理14_数字员工_智能体,28,第三大类_重塑生产关系,—
原理16_能力即服务,23,第三大类_重塑生产关系,—
原理26_能力延伸,23,第三大类_重塑生产关系,—
原理8_智能溯源,22,第二大类_增强决策与洞察,—
原理20_软件定义X,19,第四大类_颠覆产品与资产,—
原理1_智能分割,18,第一大类_重构流程与体验,—
原理25_智能教练与行为助推,17,第三大类_重塑生产关系,—
原理29_自我进化系统,16,第五大类_范式跃迁,—
原理5_无缝交互,15,第一大类_重构流程与体验,—
原理34_蜂群智能,14,第五大类_范式跃迁,—
原理22_生成式设计,13,第四大类_颠覆产品与资产,—
原理4_动态定价与匹配,10,第一大类_重构流程与体验,含失败案例
原理6_流程重塑,10,第二大类_增强决策与洞察,—
原理15_人机共创,8,第三大类_重塑生产关系,—
原理17_双边网络桥接,8,第三大类_重塑生产关系,—
原理27_变废为宝,8,第五大类_范式跃迁,—
原理37_元能力,7,第五大类_范式跃迁,—
原理12_群体智慧聚合,6,第三大类_重塑生产关系,—
原理28_去中介化,6,第五大类_范式跃迁,—
原理35_自适应安全,6,第五大类_范式跃迁,—
原理11_情境感知响应,4,第三大类_重塑生产关系,—
原理18_智能合约,4,第三大类_重塑生产关系,—
原理23_超个性化生产,4,第四大类_颠覆产品与资产,—
原理13_人机环境协同,3,第三大类_重塑生产关系,—
原理36_客户共创生态,2,第五大类_范式跃迁,—
原理24_知识产权生成,0,第四大类_颠覆产品与资产,远期原理
原理33_预见性创新,0,第五大类_范式跃迁,元原理
